What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you work in?,Which best describes the size of your company?,Which of the following best describes your occupation?,How likely is it that a recommendation you make will be acted upon?,What is your involvement in purchasing? You can choose more than 1.,What types of purchases are you involved in?,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2011?",What type of project are you developing?,Which languages are you proficient in?,What operating system do you use the most?,Please rate your job/career satisfaction,"Including bonus, what is your annual compensation in USD?",Which technology products do you own? (You can choose more than one),"In the last 12 months, how much money have you spent on personal technology-related purchases? ",Which of our sites do you frequent most?
Germany,,30-34,11,Consulting,Mid Sized (100-999),Server Programmer,Unless it's stoopid it gets done,"nan, Recommender","nan, Software","nan, Don't know",Enterprise,"Java, CSS, SQL",Windows XP,It pays the bills,"$80,000 - $100,000","nan, Android, Regular Mobile Phone, Other netbook","$501-$1,000",Stack Overflow
Other Europe,,25-29,41435,Web Services,Start Up (1-25),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender, Approver, Purchaser","Hardware, Servers, User Equipment: Monitors, PCs, Laptops","<$10,000",Web Platform,"nan, JavaScript, CSS, PHP, Ruby, SQL",Linux,I enjoy going to work,"$20,000 - $40,000","nan, Android, HDTV, Wii","$1,001-$2,000",Stack Overflow
United States of America,Indiana,25-29,41435,Software Products,,,,nan,nan,nan,,nan,,,,nan,,
United Kingdom,,25-29,41435,Other,Start Up (1-25),Server Programmer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, $10,001 - $25,000",Enterprise,Java,Linux,I enjoy going to work,"$40,000 - $60,000","nan, Android",$100-$250,Stack Overflow
United States of America,California,35-39,41435,Consulting,Start Up (1-25),"Executive (VP of Eng, CTO, CIO, etc.)",I run this place,"Influencer, Recommender, Approver, Purchaser, Check Writer, I'm a Seller","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","<$10,000",Mobile,"nan, C#",Mac OS X,I enjoy going to work,"$60,000 - $80,000","iPhone, HDTV, iPad","$1,001-$2,000",Stack Overflow
United States of America,Texas,30-34,11,Consulting,Mid Sized (100-999),Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Other,"nan, CSS, SQL, C#",Windows 7,It pays the bills,"$100,000 - $120,000","nan, Android, Kindle, Blu-Ray, HDTV, Other netbook, PS3, Xbox",">$3,000",Stack Overflow
France,,25-29,41310,Software Products,Start Up (1-25),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops, Consultants","<$10,000",Mobile,"nan, CSS, PHP, Ruby, Objective-C",Mac OS X,I enjoy going to work,"$40,000 - $60,000","iPhone, iPad","$501-$1,000",Stack Overflow
United Kingdom,,35-39,11,Other,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Servers, Software","nan, Don't know",Web Platform,"nan, JavaScript, CSS, PHP, SQL, C#, Perl",Windows 7,I enjoy going to work,"$60,000 - $80,000","iPhone, Android, Blu-Ray, HDTV, iPad, PS3, Xbox, Wii","$1,001-$2,000",Stack Overflow
United Kingdom,,25-29,41435,Finance / Banking,Mature Small Business (25-100),Web Application Developer,It's been known to happen,"Influencer, Recommender","nan, Software","nan, Don't know",SaaS,"nan, JavaScript, CSS, SQL, C#",Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Regular Mobile Phone, HDTV, Xbox",<$100,Stack Overflow
Australia,,25-29,41435,Healthcare,Mid Sized (100-999),Web Application Developer,It's been known to happen,"nan, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Enterprise,"nan, JavaScript, CSS, C#, HTML",Windows 7,It pays the bills,"$80,000 - $100,000","nan, Kindle, HDTV, Xbox, Other gaming system, Windows Phone 7",">$3,000",Stack Overflow
United States of America,Massachusetts,25-29,41310,Software Products,Mature Small Business (25-100),Embedded Application Developer,It's been known to happen,"Influencer, Recommender",Hardware,"nan, Don't know",Mobile,"Java, C++, C",Mac OS X,I'm not happy in my job,"$60,000 - $80,000","nan, Android",$100-$250,Stack Overflow
South America,,30-34,41435,Web Services,Mature Small Business (25-100),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender, Approver","nan, Software, Consultants","nan, $10,001 - $25,000",Enterprise,"nan, JavaScript, PHP, SQL, C#",Windows 7,I enjoy going to work,"<$20,000","nan, Regular Mobile Phone, iPod",$251-$500,Stack Overflow
Australia,,25-29,41310,Web Services,Mid Sized (100-999),Web Application Developer,It's been known to happen,"nan, Recommender, No Involvement","nan, Other","nan, Don't know",Enterprise,"nan, JavaScript, CSS, PHP, Ruby, SQL",Linux,It pays the bills,"$60,000 - $80,000","iPhone, Kindle, Blu-Ray, HDTV, Other netbook, Xbox, Wii",">$3,000",Stack Overflow
Germany,,25-29,41435,Web Services,Mature Small Business (25-100),Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender, Approver","Hardware, Servers, Software","nan, Don't know",Web Platform,"Java, CSS, PHP, SQL, Scala",Mac OS X,It pays the bills,"$80,000 - $100,000","iPhone, Blu-Ray, HDTV, AppleTV, iPad, Other netbook, PS3, Wii",">$3,000",Stack Overflow
Australia,,25-29,11,Retail,"Fortune 1000 (1,000+)",Manager of Developers or Team Leader,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software, Consultants","nan, $41,000 - $75,000",Other,"Java, SQL, C#, C++, C",Windows XP,I enjoy going to work,"$100,000 - $120,000","iPhone, Blu-Ray, HDTV, Other netbook, PS3, Wii","$2,001-$3,000",Stack Overflow
Australia,,25-29,41310,Foundation / Non-Profit,Mid Sized (100-999),Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Enterprise,"nan, CSS, SQL, C#",Windows 7,I enjoy going to work,"$40,000 - $60,000","nan, Other Smart Phone, Wii",$251-$500,Programmers Stack Exchange
United Kingdom,,20-24,41435,Gaming,,,,nan,nan,nan,,nan,,,,nan,,
United Kingdom,,25-29,11,Consulting,"Other (not working, consultant, etc.)",Desktop Application Developer,It's been known to happen,"Influencer, Recommender, Purchaser","Hardware, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Mobile,"Java, JavaScript, PHP, Ruby, SQL, C#, C++, C",Mac OS X,It pays the bills,"$40,000 - $60,000","iPhone, Blu-Ray, HDTV, iPad, PS3, Xbox, Wii, Other gaming system",">$3,000",Stack Overflow
Germany,,25-29,41435,Consulting,"Other (not working, consultant, etc.)",Web Application Developer,I run this place,Influencer,"nan, Software","nan, $10,001 - $25,000",Enterprise,"Java, PHP, Python, Ruby, C",Linux,So happy it hurts,">$140,000","iPhone, Other netbook","$2,001-$3,000",Stack Overflow
Other Europe,,30-34,11,Web Services,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender, Purchaser","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,"nan, CSS, SQL, C#",Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Android, Regular Mobile Phone, HDTV, Other netbook, PS3, Bebook Neo","$2,001-$3,000",Stack Overflow
United States of America,Pennsylvania,35-39,11,Web Services,Student,Student,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software","nan, Don't know",Mobile,"nan, JavaScript, CSS, PHP, SQL, Objective-C",Mac OS X,So happy it hurts,Student / Unemployed,"iPhone, PS3, Wii, Other gaming system","$501-$1,000",Stack Overflow
Germany,,25-29,41310,Manufacturing,Mature Small Business (25-100),Embedded Application Developer,Unless it's stoopid it gets done,"nan, No Involvement",nan,nan,Other,"nan, C#, Perl",Windows 7,I enjoy going to work,"<$20,000","nan, Regular Mobile Phone",<$100,Stack Overflow
Australia,,25-29,41435,Software Products,Start Up (1-25),Desktop Application Developer,I run this place,"nan, Recommender, Approver","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Other,"nan, C#",Windows 7,So happy it hurts,"$80,000 - $100,000","iPhone, Kindle, Blu-Ray, Other netbook, PS3",$100-$250,Stack Overflow
United States of America,Massachusetts,40-50,11,Software Products,"Other (not working, consultant, etc.)",Web Application Developer,Unless it's stoopid it gets done,"nan, Recommender, Approver, Purchaser, Check Writer","nan, Software","<$10,000",Web Platform,"nan, JavaScript, CSS, Python, SQL, C++, C",Windows 7,I enjoy going to work,">$140,000","nan, Regular Mobile Phone, Kindle, iPad, PS3, Wii",">$3,000",Stack Overflow
United Kingdom,,25-29,41435,Software Products,Start Up (1-25),Web Application Developer,It's been known to happen,"Influencer, Recommender, Approver","nan, Software","nan, Don't know",Web Platform,"nan, JavaScript, CSS, SQL, C#, asp.net",Windows 7,So happy it hurts,"$40,000 - $60,000","nan, Android, Other Smart Phone, Regular Mobile Phone, Kindle, HDTV, Other netbook, Xbox","$1,001-$2,000",Stack Overflow
United Kingdom,,,,,,,,nan,nan,nan,,nan,,,,nan,,
United States of America,Oklahoma,51-60,11,Other,"Fortune 1000 (1,000+)",Systems Analyst,It's been known to happen,Influencer,"nan, Software","nan, >$150,000",Enterprise,"nan, WebFOCUS",Windows XP,I enjoy going to work,,nan,,Stack Overflow
United States of America,Virginia,40-50,11,Other,Student,Student,Unless it's stoopid it gets done,"Influencer, Recommender, Approver, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Other,"nan, SQL, C++, COBOL, shell, awk",Linux,FML,Student / Unemployed,"nan, Regular Mobile Phone, PS3, Wii, Other gaming system","$2,001-$3,000",None
United States of America,Tennessee,40-50,11,Software Products,Start Up (1-25),Web Application Developer,I run this place,"nan, Recommender, Approver, Purchaser, Check Writer","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Web Platform,"nan, JavaScript, CSS, SQL, C#",Windows 7,So happy it hurts,"$100,000 - $120,000","nan, Other Smart Phone, Blu-Ray, HDTV","$1,001-$2,000",Stack Overflow
Other Europe,,25-29,41435,Consulting,Start Up (1-25),Web Application Developer,I run this place,"nan, Recommender, Approver, Purchaser, Check Writer","Hardware, Software, User Equipment: Monitors, PCs, Laptops","<$10,000",Web Platform,"nan, JavaScript, CSS, Python, SQL, C#",Mac OS X,I enjoy going to work,"$60,000 - $80,000",iPhone,<$100,Stack Overflow
Mexico,,20-24,41310,Software Products,Start Up (1-25),Web Application Developer,I run this place,"Influencer, Recommender, Approver, Purchaser","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Other","<$10,000",Web Platform,"Java, JavaScript, CSS, PHP, C++, C",Windows 7,So happy it hurts,"<$20,000","nan, HDTV, Other netbook, Xbox, Other gaming system, Big-ass custom PC","$1,001-$2,000",Programmers Stack Exchange
United Kingdom,,35-39,11,Software Products,Start Up (1-25),Desktop Application Developer,I run this place,"Influencer, Recommender, Approver, Purchaser, Check Writer, I'm a Seller","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","<$10,000",Enterprise,"nan, Python, SQL, C#, C, Delphi",Mac OS X,I enjoy going to work,"$120,000 - $140,000","iPhone, AppleTV, iPad, Other netbook, Wii","$2,001-$3,000",Stack Overflow
United States of America,Massachusetts,30-34,41435,Finance / Banking,"Fortune 1000 (1,000+)",Manager of Developers or Team Leader,It's been known to happen,"nan, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","<$10,000",Web Platform,"nan, CSS, PHP, SQL, C#",Windows 7,I enjoy going to work,"$100,000 - $120,000","iPhone, HDTV, Xbox","$501-$1,000",Stack Overflow
United States of America,Iowa,35-39,11,Advertising,Mid Sized (100-999),Manager of Developers or Team Leader,I run this place,"Influencer, Recommender, Approver","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants","nan, $25,001 - $40,000",Mobile,"Java, JavaScript, CSS, PHP, Python, SQL, C#, C++, C",Mac OS X,It pays the bills,"$80,000 - $100,000","iPhone, Wii","$501-$1,000",Stack Overflow
Australia,,35-39,11,Other,"Fortune 1000 (1,000+)",Manager of Developers or Team Leader,Unless it's stoopid it gets done,"nan, Recommender, Approver","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops, Consultants, Other","nan, >$150,000",Enterprise,"Java, JavaScript, CSS, SQL, C#, C++, C",Windows 7,I enjoy going to work,">$140,000","iPhone, Android, Kindle, Blu-Ray, iPad","$1,001-$2,000",Stack Overflow
Other Europe,,25-29,41435,Web Services,Mature Small Business (25-100),Web Application Developer,Unless it's stoopid it gets done,"nan, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Mobile,"Java, JavaScript, CSS, PHP, Python, Ruby, SQL, Perl",Mac OS X,I enjoy going to work,"$60,000 - $80,000","iPhone, Wii, Projector, NAS",$251-$500,Stack Overflow
Other Europe,,20-24,41435,Web Services,Student,Web Application Developer,It's been known to happen,"nan, No Involvement",nan,nan,Web Platform,"Java, CSS, Ruby, C#, C++",Linux,,,nan,,
Australia,,25-29,41435,Software Products,Mid Sized (100-999),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Enterprise,"Java, JavaScript, CSS, SQL, C#, Perl",Windows 7,It pays the bills,"$100,000 - $120,000","iPhone, Other Smart Phone, HDTV, iPad, PS3","$2,001-$3,000",Programmers Stack Exchange
Other Europe,,20-24,41310,Consulting,"Fortune 1000 (1,000+)",Web Application Developer,It's been known to happen,"nan, Recommender, Purchaser","nan, Software","<$10,000",Enterprise,"nan, JavaScript, CSS, SQL, C#",Windows 7,It pays the bills,,"nan, Other Smart Phone, HDTV, Wii, htpc",$251-$500,Stack Overflow
United States of America,Utah,25-29,41435,Software Products,"Fortune 1000 (1,000+)",Embedded Application Developer,It's been known to happen,"nan, Recommender","nan, Software","nan, Don't know",Other,"Java, JavaScript, C#, C++, C",Windows 7,I enjoy going to work,"$60,000 - $80,000","iPhone, Blackberry, Wii","$501-$1,000",Stack Overflow
United States of America,California,25-29,41310,Consulting,Mature Small Business (25-100),Desktop Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software","nan, Don't know",Enterprise,"nan, SQL, C#, Perl",Windows 7,I enjoy going to work,"$60,000 - $80,000","nan, Android, Blackberry, Kindle","$1,001-$2,000",Stack Overflow
United States of America,New York,20-24,41435,Other,Student,Student,It's been known to happen,"nan, Recommender, No Involvement","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Enterprise,"Java, CSS, PHP, C#",Windows 7,I enjoy going to work,Student / Unemployed,"iPhone, Regular Mobile Phone, Nook, Xbox, Wii",$251-$500,Stack Overflow
Germany,,25-29,41310,Other,Student,Student,It's been known to happen,"nan, No Involvement",nan,nan,Other,"Java, C#, C++, C, Haskell",Windows 7,I enjoy going to work,Student / Unemployed,"nan, Android","$501-$1,000",Stack Overflow
Other Europe,,25-29,11,Retail,"Fortune 1000 (1,000+)",Other,Once in a blue moon,"Influencer, Recommender","Hardware, User Equipment: Monitors, PCs, Laptops, Consultants, Other","nan, Don't know",Enterprise,"Java, CSS, SQL, C++, C, Perl",Linux,I'm not happy in my job,"$60,000 - $80,000","iPhone, Blu-Ray, Other netbook, PS3, Wii",">$3,000",Stack Overflow
United States of America,Florida,25-29,41435,Web Services,Start Up (1-25),Web Application Developer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers, Software, User Equipment: Monitors, PCs, Laptops","nan, $10,001 - $25,000",Web Platform,"nan, JavaScript, CSS, SQL, C#",Windows XP,So happy it hurts,"$20,000 - $40,000","nan, Regular Mobile Phone",$100-$250,Stack Overflow
Other Europe,,20-24,41310,Gaming,Student,Student,It's been known to happen,"nan, Check Writer","Hardware, Software","<$10,000",Other,"nan, C#, C++, C",Windows 7,I enjoy going to work,Student / Unemployed,nan,"$1,001-$2,000",Stack Overflow
Other Europe,,25-29,41435,Web Services,"Fortune 1000 (1,000+)",Server Programmer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Servers","nan, Don't know",SaaS,"Java, JavaScript, CSS, PHP, SQL",Mac OS X,So happy it hurts,"$80,000 - $100,000","iPhone, Android, Kindle, Blu-Ray, AppleTV","$2,001-$3,000",Stack Overflow
Other Europe,,30-34,11,Software Products,Start Up (1-25),Desktop Application Developer,I run this place,"Influencer, Recommender, Purchaser, I'm a Seller","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Enterprise,"nan, Python, SQL, C#",Windows 7,So happy it hurts,"$20,000 - $40,000","nan, Other Smart Phone, Nook, HDTV","$501-$1,000",Stack Overflow
Australia,,40-50,11,Consulting,Mature Small Business (25-100),Server Programmer,Unless it's stoopid it gets done,"Influencer, Recommender","Hardware, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Web Platform,"Java, Ruby, C++, C",Linux,I'm not happy in my job,"$120,000 - $140,000","nan, Other Smart Phone, Regular Mobile Phone, HDTV, iPad, Wii","$1,001-$2,000",Stack Overflow
United Kingdom,,40-50,11,Education,"Other (not working, consultant, etc.)",IT Staff / System Administrator,It's been known to happen,"Influencer, Recommender","nan, Software, User Equipment: Monitors, PCs, Laptops","nan, Don't know",Other,"nan, None",Windows 7,,,nan,,
